Agency ID,Agency Name
5,Department of Agriculture
6,Department of Commerce
7,Department of Defense
9,Department of Health and Human Services
10,Department of the Interior
11,Department of Justice
12,Department of Labor
14,Department of State
15,Department of the Treasury
16,Social Security Administration
18,Department of Education
19,Department of Energy
20,Environmental Protection Agency
21,Department of Transportation
23,General Services Administration
24,Department of Homeland Security
25,Department of Housing and Urban Development
26,National Aeronautics and Space Administration
27,Office of Personnel Management
28,Small Business Administration
29,Department of Veterans Affairs
184,U.S. Agency for International Development
202,U.S. Army Corps of Engineers
393,National Archives and Records Administration
422,National Science Foundation
429,Nuclear Regulatory Commission
